customer_id,order_id,order_date,order_value,channel
C00086,O0003735,2025-10-27,58.38,Organic
C00190,O0001753,2026-01-14,54.98,Paid social
C00059,O0003985,2026-01-27,59.71,Organic
C00177,O0002823,2025-07-04,129.01,Organic
C00061,O0002176,2026-04-27,53.12,Organic
C00006,O0001029,2026-04-23,43.68,Organic
C00010,O0002942,2025-12-17,38.13,Organic
C00086,O0003742,2026-04-22,106.33,Organic
C00017,O0000384,2026-04-11,109.8,Email
C00038,O0000990,2026-02-27,90.06,Organic
C00140,O0003935,2025-09-24,82.42,Email
C00089,O0002341,2025-07-11,106.79,Email
C00110,O0001162,2025-10-16,56.45,Organic
C00162,O0003921,2026-03-15,94.27,Store
C00059,O0003973,2025-06-01,60.38,Organic
C00045,O0000126,2025-07-02,103.74,Store
C00132,O0001887,2026-02-15,49.49,Paid social
C00055,O0000965,2026-01-21,97.86,Paid social
C00056,O0000894,2025-09-21,66.71,Email
C00260,O0004018,2025-12-31,56.82,Email
C00081,O0000867,2025-12-20,103.69,Email
C00092,O0001309,2026-01-31,58.5,Email
C00285,O0001200,2026-01-16,61.07,Organic
C00178,O0001190,2026-01-17,76.88,Store
C00143,O0002741,2025-09-16,39.82,Organic
C00120,O0001098,2026-06-06,138.78,Email
C00066,O0002502,2025-07-24,65.91,Email
C00015,O0000916,2025-12-13,78.18,Paid social
C00229,O0003078,2026-06-07,52.89,Paid social
C00021,O0003490,2026-01-24,79.74,Store
C00174,O0000377,2026-05-26,56.95,Email
C00111,O0002692,2025-08-07,99.92,Email
C00092,O0001303,2025-10-02,30.31,Email
C00317,O0003451,2025-09-07,117.86,Organic
C00151,O0002735,2026-06-26,137.91,Email
C00335,O0003871,2025-02-28,19.97,Organic
C00052,O0003414,2026-01-04,40.05,Store
C00084,O0000518,2026-01-04,45.52,Email
C00004,O0001123,2026-03-22,74.4,Email
C00311,O0002667,2026-01-08,55.01,Paid social
C00023,O0003688,2025-11-21,43.22,Email
C00209,O0000275,2025-12-16,57.86,Paid social
C00466,O0001353,2025-12-02,28.94,Store
C00442,O0000480,2025-11-04,21.89,Paid social
C00121,O0003024,2026-03-24,58.16,Organic
C00071,O0003458,2025-11-05,59.6,Email
C00122,O0000006,2025-07-26,61.13,Email
C00030,O0000211,2026-05-14,76.48,Email
C00503,O0003647,2025-10-30,358.82,Organic
C00530,O0001154,2026-03-01,1098.72,Paid social
C00106,O0002196,2026-06-09,70.38,Store
C00149,O0000877,2025-09-27,88.03,Store
C00076,O0003956,2026-06-06,68.58,Organic
C00205,O0001783,2025-12-15,41.06,Paid social
C00074,O0004005,2025-10-22,117.99,Email
C00149,O0000888,2026-06-12,146.0,Store
C00265,O0003726,2025-06-19,60.98,Organic
C00068,O0003189,2026-05-16,96.66,Email
C00142,O0000111,2025-09-25,87.05,Email
C00310,O0001424,2025-08-06,200.36,Organic
C00511,O0002952,2025-05-20,251.37,Email
C00336,O0002791,2025-02-19,40.93,Organic
C00024,O0000301,2026-02-07,48.59,Store
C00093,O0000612,2025-07-17,40.67,Email
C00072,O0000554,2026-06-21,87.2,Store
C00098,O0003534,2025-11-10,55.25,Email
C00133,O0001813,2026-04-23,40.0,Email
C00047,O0002428,2025-12-13,98.33,Organic
C00244,O0003053,2025-07-05,60.31,Paid social
C00026,O0004177,2025-11-19,57.99,Email
C00572,O0002614,2025-10-03,281.83,Store
C00157,O0001861,2025-11-20,66.53,Email
C00017,O0000379,2025-09-23,87.09,Email
C00251,O0002337,2025-06-28,46.74,Store
C00177,O0002825,2025-10-09,75.65,Organic
C00141,O0002461,2025-10-08,196.31,Email
C00350,O0002545,2025-08-07,7.68,Organic
C00055,O0000961,2025-11-17,66.83,Paid social
C00216,O0003782,2025-11-04,75.02,Store
C00264,O0001150,2026-04-06,29.11,Organic
C00307,O0002243,2025-05-27,41.14,Organic
C00136,O0004204,2025-06-21,29.02,Organic
C00048,O0004119,2025-12-15,101.33,Email
C00173,O0001966,2026-02-04,22.69,Store
C00421,O0002710,2025-10-04,20.81,Store
C00277,O0000404,2025-09-27,46.56,Paid social
C00182,O0001345,2025-07-26,99.99,Paid social
C00090,O0003552,2026-01-27,60.39,Store
C00101,O0001730,2025-07-13,75.38,Email
C00123,O0002084,2026-04-17,76.12,Email
C00111,O0002702,2026-02-11,71.36,Email
C00162,O0003915,2026-01-11,60.62,Store
C00125,O0003645,2026-06-03,39.4,Organic
C00493,O0001430,2025-10-04,252.58,Organic
C00283,O0001994,2025-07-13,45.95,Store
C00306,O0000090,2025-06-17,65.62,Email
C00315,O0000096,2025-10-13,56.24,Email
C00304,O0002798,2026-04-23,120.84,Paid social
C00163,O0002329,2025-10-14,102.46,Store
C00057,O0000940,2025-11-26,68.34,Organic
C00125,O0003636,2025-10-29,50.74,Organic
C00061,O0002168,2025-12-06,51.22,Organic
C00164,O0002606,2025-12-27,99.09,Email
C00037,O0003067,2026-04-14,62.97,Email
C00152,O0001236,2025-10-30,152.73,Organic
C00135,O0000827,2025-12-13,87.16,Organic
C00147,O0002898,2026-04-10,99.94,Email
C00176,O0000649,2026-04-11,52.53,Paid social
C00463,O0000977,2025-10-30,96.06,Unknown
C00088,O0001913,2026-06-15,70.33,Email
C00071,O0003466,2026-03-01,89.57,Email
C00528,O0001214,2025-06-30,759.59,Store
C00291,O0001359,2025-10-23,51.81,Paid social
C00576,O0003786,2026-01-11,380.79,Email
C00140,O0003940,2026-01-23,88.97,Email
C00052,O0003413,2025-12-02,90.41,Store
C00319,O0002389,2026-05-16,66.07,Organic
C00152,O0001244,2026-02-07,101.68,Organic
C00018,O0004158,2026-04-01,55.26,Email
C00172,O0003573,2026-04-07,83.68,Store
C00591,O0001292,2025-09-22,281.15,Email
C00338,O0000492,2026-02-15,25.4,Email
C00325,O0004170,2026-04-14,64.79,Organic
C00114,O0001169,2025-07-14,70.6,Email
C00403,O0002594,2025-09-26,7.37,Email
C00153,O0004059,2025-06-21,95.22,Paid social
C00119,O0003127,2026-02-01,54.26,Email
C00025,O0002054,2025-06-27,143.45,Email
C00174,O0000370,2025-10-07,92.15,Email
C00326,O0003320,2026-03-26,66.78,Paid social
C00036,O0001838,2026-02-19,83.79,Organic
C00155,O0000194,2026-01-24,155.08,Paid social
C00212,O0001009,2025-09-10,62.13,Paid social
C00140,O0003936,2025-10-02,105.56,Email
C00041,O0001671,2025-07-06,72.35,Email
C00031,O0000995,2025-07-01,89.92,Email
C00115,O0000029,2026-02-02,51.58,Organic
C00143,O0002740,2025-09-03,72.15,Organic
C00452,O0002042,2026-01-30,32.4,Store
C00003,O0000701,2026-03-05,27.19,Email
C00111,O0002691,2025-07-17,101.81,Email
C00038,O0000989,2026-02-21,48.43,Organic
C00092,O0001296,2025-07-22,28.11,Email
C00034,O0003776,2026-01-24,114.58,Email
C00517,O0001796,2026-03-09,436.15,Organic
C00139,O0001553,2026-05-05,67.0,Store
C00052,O0003408,2025-10-02,50.42,Store
C00284,O0001851,2026-05-04,135.97,Paid social
C00399,O0002559,2024-10-18,40.11,Email
C00281,O0001586,2025-08-10,76.66,Organic
C00108,O0001977,2025-07-05,29.47,Organic
C00246,O0004086,2025-06-28,12.25,Paid social
C00201,O0001460,2026-01-11,26.47,Organic
C00208,O0000667,2025-10-23,134.71,Paid social
C00167,O0002964,2025-08-06,39.17,Store
C00018,O0004153,2025-11-11,96.55,Email
C00330,O0001398,2025-10-09,36.0,Paid social
C00118,O0003439,2026-02-07,29.27,Email
C00064,O0003512,2025-10-05,87.41,Email
C00067,O0003908,2026-06-20,109.69,Paid social
C00287,O0003037,2025-06-18,21.62,Organic
C00565,O0001700,2025-05-16,757.05,Store
C00004,O0001118,2025-12-21,79.44,Email
C00249,O0002317,2026-04-22,123.23,Email
C00129,O0002033,2025-12-15,111.64,Store
C00583,O0002490,2025-04-21,175.1,Unknown
C00135,O0000829,2026-01-10,112.38,Organic
C00165,O0000712,2025-05-21,143.46,Organic
C00205,O0001781,2025-08-02,67.05,Paid social
C00592,O0000691,2025-05-17,1011.91,Store
C00020,O0003831,2026-04-27,81.64,Organic
C00380,O0000752,2025-08-06,73.81,Organic
C00459,O0003029,2025-06-15,73.59,Email
C00157,O0001873,2026-05-21,55.19,Email
C00005,O0002481,2025-12-21,112.02,Organic
C00046,O0003203,2025-12-21,108.65,Paid social
